epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.30107,2.76564,9.96837,2.31649,0.00606,1,0.01144,0.00289,2.66906,4.74907,3.15197,0,0,0
2,13.677,2.33882,5.0554,2.43273,0.00595,1,0.01605,0.00587,2.61154,4.74244,3.10119,1.40542e-05,1.40542e-05,1.40542e-05
3,29.0218,2.51781,6.43673,2.5198,0.00606,1,0.07107,0.03554,2.38774,6.48219,2.96166,2.76369e-05,2.76369e-05,2.76369e-05
4,38.2054,2.69093,4.96419,2.61588,0.0068,1,0.24875,0.10305,2.21327,7.78628,2.71901,4.07479e-05,4.07479e-05,4.07479e-05
5,46.1817,1.95341,3.796,2.04205,0.19342,1,0.33167,0.1194,1.8596,9.02184,2.4411,5.33874e-05,5.33874e-05,5.33874e-05
6,52.238,2.13651,3.00618,2.1676,0.49151,1,0.995,0.42288,1.445,24.7451,1.80679,6.55554e-05,6.55554e-05,6.55554e-05
7,59.2379,1.64178,2.73431,1.88987,0.79408,1,0.995,0.38239,1.25854,37.6913,1.71798,7.72517e-05,7.72517e-05,7.72517e-05
8,64.7045,1.66151,2.32283,1.32393,0.43561,1,0.995,0.2985,1.30361,47.5372,1.80296,8.84765e-05,8.84765e-05,8.84765e-05
9,70.2629,1.34263,3.17179,1.69485,0.94349,1,0.995,0.4975,1.59281,39.5078,1.76699,9.92298e-05,9.92298e-05,9.92298e-05
10,76.6095,1.94713,3.01117,1.87069,0.96159,1,0.995,0.41221,1.65619,21.2315,1.66912,0.000109511,0.000109511,0.000109511
11,81.9345,3.14683,2.40727,2.20704,0.95496,1,0.995,0.4378,1.39172,15.9084,1.54236,0.000119322,0.000119322,0.000119322
12,90.676,1.56323,3.54918,1.71428,0.86883,1,0.995,0.44775,1.17856,11.1456,1.44193,0.00012866,0.00012866,0.00012866
13,97.661,1.03891,3.24452,1.57099,0.76749,1,0.995,0.6965,1.211,9.4368,1.49097,0.000137527,0.000137527,0.000137527
14,104.176,1.89748,2.59676,2.13145,0.32002,1,0.995,0.43117,1.62221,14.8364,1.65937,0.000145922,0.000145922,0.000145922
15,110.273,1.30837,2.16304,1.46715,0.4485,1,0.995,0.6965,1.45035,15.1397,1.69419,0.000153846,0.000153846,0.000153846
16,117.08,1.10249,2.10078,1.28441,0.52084,1,0.995,0.6965,1.32187,8.69027,1.6278,0.000161298,0.000161298,0.000161298
17,124.019,1.13573,1.55595,1.26069,0.84524,1,0.995,0.59789,1.12015,8.74095,1.44735,0.000168279,0.000168279,0.000168279
18,131.919,0.9974,1.39833,1.17987,0.84524,1,0.995,0.59789,1.12015,8.74095,1.44735,0.000174788,0.000174788,0.000174788
19,138.021,1.37145,1.98114,1.38837,0.90357,1,0.995,0.6965,0.78273,8.50919,1.2525,0.000180826,0.000180826,0.000180826
20,145.006,1.19315,1.26971,1.16186,0.90357,1,0.995,0.6965,0.78273,8.50919,1.2525,0.000186392,0.000186392,0.000186392
21,151.375,0.99913,1.70561,1.22919,0.85076,1,0.995,0.597,1.3091,6.51316,1.40064,0.000191486,0.000191486,0.000191486
22,157.093,1.2317,1.63421,1.24205,0.85076,1,0.995,0.597,1.3091,6.51316,1.40064,0.000196109,0.000196109,0.000196109
23,162.954,1.35213,2.14635,1.38399,0.94268,1,0.995,0.4975,1.64283,7.50898,1.6726,0.00020026,0.00020026,0.00020026
24,168.674,1.07317,1.32243,1.10519,0.94268,1,0.995,0.4975,1.64283,7.50898,1.6726,0.00020394,0.00020394,0.00020394
25,174.63,1.43952,1.66127,1.53559,0.91699,1,0.995,0.398,2.07467,6.35233,2.11822,0.000207148,0.000207148,0.000207148
26,180.668,1.48815,2.3667,1.60336,0.91699,1,0.995,0.398,2.07467,6.35233,2.11822,0.000209884,0.000209884,0.000209884
27,186.916,1.13636,0.90604,1.16802,0.79572,1,0.995,0.4982,1.90576,7.36716,1.92851,0.000212149,0.000212149,0.000212149
28,193.579,0,19.6586,0,0.79572,1,0.995,0.4982,1.90576,7.36716,1.92851,0.000213943,0.000213943,0.000213943
29,199.454,1.12635,2.03803,1.36045,0.48977,1,0.995,0.597,1.50291,12.9156,1.76659,0.000215265,0.000215265,0.000215265
30,205.012,0.93357,1.00905,1.13745,0.48977,1,0.995,0.597,1.50291,12.9156,1.76659,0.000216115,0.000216115,0.000216115
31,210.91,0.67595,1.28196,1.11158,0.47494,1,0.995,0.27007,1.70496,10.6588,2.13718,0.000216493,0.000216493,0.000216493
32,216.915,1.30228,1.58047,1.45957,0.47494,1,0.995,0.27007,1.70496,10.6588,2.13718,0.000216401,0.000216401,0.000216401
33,223.379,1.06261,1.84197,1.39932,0.49165,1,0.995,0.27362,1.70528,9.15071,2.25453,0.000215836,0.000215836,0.000215836
34,229.027,1.85961,2.56087,2.06222,0.49165,1,0.995,0.27362,1.70528,9.15071,2.25453,0.0002148,0.0002148,0.0002148
35,234.961,1.1005,1.41459,1.1266,0.0546,1,0.14214,0.07219,1.93544,7.65501,2.36987,0.000213293,0.000213293,0.000213293
